text,label
"Government launches new healthcare scheme for rural areas",REAL
"Aliens spotted selling vegetables in Delhi market",FAKE
"Scientists discover new renewable energy source",REAL
"Man claims to survive without food for 10 years",FAKE
"India wins international cricket tournament",REAL
"Flying cars become mandatory in Mumbai by 2026",FAKE
"New AI technology helps doctors detect diseases early",REAL
"Dinosaurs found alive in Himalayan caves",FAKE
"Researchers develop affordable cancer treatment",REAL
"Ghost elected as mayor in small village",FAKE
"Education ministry introduces digital classrooms nationwide",REAL
"Time traveler predicts world ending next week",FAKE
"Indian startup raises millions for clean energy innovation",REAL
"Scientists confirm moon made entirely of cheese",FAKE
"Government announces scholarships for engineering students",REAL
"Invisible man arrested for robbing bank",FAKE
"Space agency successfully launches communication satellite",REAL
"Dragon discovered living in forest reserve",FAKE
"Medical researchers create breakthrough diabetes medicine",REAL
"Mermaids spotted near Mumbai coastline",FAKE
"Heavy rainfall expected across western India this week",REAL
"Man builds rocket using kitchen utensils",FAKE
"Researchers develop eco-friendly plastic alternative",REAL
"Alien spaceship lands on cricket stadium during match",FAKE
"New railway project to improve transportation system",REAL
"Scientists discover method to recycle ocean waste efficiently",REAL
"Zombie virus outbreak reported in local town",FAKE
"Government increases funding for higher education",REAL
"Talking dog becomes CEO of technology company",FAKE
"India records growth in renewable energy production",REAL
"Man claims to communicate with plants using mobile phone",FAKE
"Scientists invent low-cost water purification system",REAL
"Ghost train seen flying above city at midnight",FAKE
"Researchers create AI model for early flood prediction",REAL
"Alien school opens admissions for humans",FAKE
"New vaccination drive launched across the country",REAL
"Man travels to Mars in homemade spacecraft",FAKE
"Technology company launches affordable smart devices",REAL
"Scientists discover ancient fossils in desert region",REAL
"Fish found driving motorcycle on highway",FAKE
"Government plans smart city development projects",REAL
"Researchers develop battery charging within one minute",REAL
"Unicorn spotted near mountain village",FAKE
"India achieves record digital payment transactions",REAL
"Scientists develop robotic arm for medical surgeries",REAL
"Man claims pet cat can solve math equations",FAKE
"New policy introduced to support small businesses",REAL
"Researchers find sustainable farming techniques",REAL
"Flying elephant seen crossing national highway",FAKE
"AI system helps students improve learning performance",REAL
"Scientists discover water reserves on distant planet",REAL
"Vampire opens restaurant in city center",FAKE
"Government launches women empowerment initiative",REAL
"Researchers create biodegradable packaging material",REAL
"Invisible airplane lands at local airport",FAKE
"New employment opportunities created in technology sector",REAL
"Scientists develop advanced earthquake warning system",REAL
"Alien musician wins reality singing competition",FAKE
"Medical experts recommend balanced diet for healthy lifestyle",REAL
"Robot becomes principal of engineering college",FAKE
